bin	Depth HFD_AL_4_02_25	Depth HFD_AL_4_03_11	Depth HFD_AL_6_05_12	Depth HFD_AL_6_05_22	Depth HFD_AL_7_06_12	Depth HFD_IF_4_02_25	Depth HFD_IF_4_03_11	Depth HFD_IF_6_05_12	Depth HFD_IF_6_05_22	Depth HFD_IF_7_06_12	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
MEGAHIT-MetaBAT2-group-IF.134.fa						7.67494	0.0778688	1.04863	4.77508	1.0932	MEGAHIT-MetaBAT2-group-IF.134.fa	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	11	2996	2996	0.000%	75	MEGAHIT-MetaBAT2-group-IF.134.fa	4.4	0.0	Neural Network (Specific Model)	11	0.757	212921	308	MEGAHIT-MetaBAT2-group-IF.134	MEGAHIT-MetaBAT2-group-IF.134.fa	75	75	5	0	0	0	212921	212921	28631	0	0	0	75	6783	212921	39.71	2996	2270	26	46	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.134.fa																			
MEGAHIT-MetaBAT2-group-IF.135.fa						13.2481	12.0709	0.005703665	0.007916515	0.00531917	MEGAHIT-MetaBAT2-group-IF.135.fa	bacteria_odb10	88.7	83.9	4.8	4.8	6.5	124	11	129085	129085	0.000%	32	MEGAHIT-MetaBAT2-group-IF.135.fa	93.0	1.59	Neural Network (Specific Model)	11	0.885	2659203	2019	MEGAHIT-MetaBAT2-group-IF.135	MEGAHIT-MetaBAT2-group-IF.135.fa	32	32	28	26	25	21	2659203	2659203	2646128	2633605	2616126	2451330	32	280174	2659203	62.29	129085	77729	8	15	0.0	0 + 2 part	MEGAHIT-MetaBAT2-group-IF.135.fa	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia sp910585575	GCF_951801035.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia sp910585575	99.77	0.976							ani_screen	classification based on ANI only	GCF_029076695.1, s__Adlercreutzia equolifaciens_A, 95.0, 90.49, 0.487				
MEGAHIT-MetaBAT2-group-IF.136.fa						69.6971	31.9772	0.0	0.00968445	0.0	MEGAHIT-MetaBAT2-group-IF.136.fa	bacteria_odb10	79.0	78.2	0.8	0.0	21.0	124	11	47107	47107	0.000%	67	MEGAHIT-MetaBAT2-group-IF.136.fa	75.97	0.13	Neural Network (Specific Model)	11	0.893	2133912	1772	MEGAHIT-MetaBAT2-group-IF.136	MEGAHIT-MetaBAT2-group-IF.136.fa	67	67	61	53	36	15	2133912	2133912	2110551	2051424	1762438	1041727	67	137610	2133912	53.4	47107	30687	16	31	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.136.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535	GCA_001689535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535	98.6	0.861							ani_screen	classification based on ANI only	GCA_009775605.1, s__Paramuribaculum sp009775605, 95.0, 91.32, 0.627; GCA_958439725.1, s__Paramuribaculum sp958439725, 95.0, 91.5, 0.687				
MEGAHIT-MetaBAT2-group-IF.137.fa						3.19518	1.131455	1.89244	1.0873499999999998	1.29358	MEGAHIT-MetaBAT2-group-IF.137.fa	bacteria_odb10	46.8	46.8	0.0	14.5	38.7	124	11	3684	3684	0.000%	492	MEGAHIT-MetaBAT2-group-IF.137.fa	56.79	2.94	Neural Network (Specific Model)	11	0.894	1694402	2032	MEGAHIT-MetaBAT2-group-IF.137	MEGAHIT-MetaBAT2-group-IF.137.fa	492	492	81	8	0	0	1694402	1694402	593483	102331	0	0	492	19541	1694402	63.97	3684	2579	142	279	0.0	1 + 0 part	MEGAHIT-MetaBAT2-group-IF.137.fa																			
MEGAHIT-MetaBAT2-group-IF.138.fa						0.0206785	0.0424147	99.8348	71.21235	154.86700000000002	MEGAHIT-MetaBAT2-group-IF.138.fa	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124	11	143074	143074	0.000%	2	MEGAHIT-MetaBAT2-group-IF.138.fa	4.77	0.0	Neural Network (Specific Model)	11	0.916	224367	238	MEGAHIT-MetaBAT2-group-IF.138	MEGAHIT-MetaBAT2-group-IF.138.fa	2	2	2	2	2	2	224367	224367	224367	224367	224367	224367	2	143074	224367	54.65	143074	81293	1	2	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.138.fa																			
MEGAHIT-MetaBAT2-group-IF.139.fa						4.07348	0.748567	0.197698	0.701984	1.00793	MEGAHIT-MetaBAT2-group-IF.139.fa	bacteria_odb10	45.2	45.2	0.0	12.9	41.9	124	11	3556	3556	0.000%	413	MEGAHIT-MetaBAT2-group-IF.139.fa	55.66	1.32	Gradient Boost (General Model)	11	0.872	1356198	1568	MEGAHIT-MetaBAT2-group-IF.139	MEGAHIT-MetaBAT2-group-IF.139.fa	413	413	65	6	0	0	1356198	1356198	470263	79472	0	0	413	17882	1356198	57.28	3556	2372	115	235	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.139.fa																			
MEGAHIT-MetaBAT2-group-IF.14.fa						4.96623	2.96253	0.0	0.0	0.0	MEGAHIT-MetaBAT2-group-IF.14.fa	bacteria_odb10	47.6	47.6	0.0	9.7	42.7	124	11	3591	3591	0.000%	569	MEGAHIT-MetaBAT2-group-IF.14.fa	57.07	1.62	Gradient Boost (General Model)	11	0.911	1892717	2181	MEGAHIT-MetaBAT2-group-IF.14	MEGAHIT-MetaBAT2-group-IF.14.fa	569	569	71	9	0	0	1892717	1892717	527091	100642	0	0	569	12820	1892717	59.78	3591	2485	171	329	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.14.fa																			
MEGAHIT-MetaBAT2-group-IF.140.fa						17.887700000000002	2.361975	1.5217200000000002	0.456989	0.172199	MEGAHIT-MetaBAT2-group-IF.140.fa	bacteria_odb10	94.4	94.4	0.0	1.6	4.0	124	11	83229	83229	0.000%	80	MEGAHIT-MetaBAT2-group-IF.140.fa	97.36	0.01	Neural Network (Specific Model)	11	0.867	2492837	2365	MEGAHIT-MetaBAT2-group-IF.140	MEGAHIT-MetaBAT2-group-IF.140.fa	80	80	56	42	30	17	2492837	2492837	2421743	2331830	2110069	1660186	80	178819	2492837	58.9	83229	37596	11	22	0.0	1 + 0 part	MEGAHIT-MetaBAT2-group-IF.140.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910587995	GCA_041223885.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910587995	98.31	0.902							ani_screen	classification based on ANI only	GCA_948471095.1, s__Acutalibacter sp948471095, 95.0, 87.28, 0.304				
MEGAHIT-MetaBAT2-group-IF.141.fa						16.4536	15.9397	0.0	0.00412905	0.0	MEGAHIT-MetaBAT2-group-IF.141.fa	bacteria_odb10	41.1	41.1	0.0	0.8	58.1	124	11	61175	61175	0.000%	27	MEGAHIT-MetaBAT2-group-IF.141.fa	60.68	0.07	Gradient Boost (General Model)	11	0.896	1089639	1037	MEGAHIT-MetaBAT2-group-IF.141	MEGAHIT-MetaBAT2-group-IF.141.fa	27	27	27	24	15	9	1089639	1089639	1089639	1066272	925269	702320	27	146854	1089639	51.47	61175	43199	7	12	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.141.fa																			
MEGAHIT-MetaBAT2-group-IF.142.fa						7.21268	0.16629	0.397106	1.81777	0.772205	MEGAHIT-MetaBAT2-group-IF.142.fa	bacteria_odb10	79.0	79.0	0.0	3.2	17.7	124	11	7627	7627	0.000%	885	MEGAHIT-MetaBAT2-group-IF.142.fa	83.87	10.45	Gradient Boost (General Model)	11	0.899	4636391	4802	MEGAHIT-MetaBAT2-group-IF.142	MEGAHIT-MetaBAT2-group-IF.142.fa	885	885	280	120	11	0	4636391	4636391	3004394	1891922	329751	0	885	42848	4636391	47.6	7627	3612	169	393	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.142.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp009917455	GCA_009917455.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp009917455	98.91	0.699							ani_screen	classification based on ANI only	GCA_910577275.1, s__Suilimivivens sp910577275, 95.0, 92.68, 0.442; GCA_910577445.1, s__Suilimivivens sp910577445, 95.0, 90.0, 0.254; GCA_947063675.1, s__Suilimivivens sp947063675, 95.0, 94.83, 0.6				
MEGAHIT-MetaBAT2-group-IF.143.fa						0.0	0.0	8.42754	1.68598	1.93344	MEGAHIT-MetaBAT2-group-IF.143.fa	bacteria_odb10	43.5	43.5	0.0	5.6	50.8	124	11	4837	4837	0.000%	547	MEGAHIT-MetaBAT2-group-IF.143.fa	64.59	1.03	Neural Network (Specific Model)	11	0.902	2278989	2299	MEGAHIT-MetaBAT2-group-IF.143	MEGAHIT-MetaBAT2-group-IF.143.fa	547	547	144	22	0	0	2278989	2278989	1107305	277021	0	0	547	18390	2278989	50.21	4837	3171	151	294	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.143.fa																			
MEGAHIT-MetaBAT2-group-IF.144.fa						9.54782	1.92146	1.76605	1.79544	2.56833	MEGAHIT-MetaBAT2-group-IF.144.fa	bacteria_odb10	91.1	91.1	0.0	1.6	7.3	124	11	30634	30634	0.000%	151	MEGAHIT-MetaBAT2-group-IF.144.fa	94.99	0.65	Gradient Boost (General Model)	11	0.904	2698734	2406	MEGAHIT-MetaBAT2-group-IF.144	MEGAHIT-MetaBAT2-group-IF.144.fa	151	151	110	81	34	14	2698734	2698734	2581990	2389047	1601475	919566	151	85496	2698734	52.5	30634	17504	26	54	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.144.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RGIG7193;s__RGIG7193 sp910586125	GCA_910586125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RGIG7193;s__RGIG7193 sp910586125	99.68	0.957							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.145.fa						0.0	0.0	5.69111	5.044499999999999	13.13545	MEGAHIT-MetaBAT2-group-IF.145.fa	bacteria_odb10	6.5	6.5	0.0	1.6	91.9	124	11	16374	16374	0.000%	24	MEGAHIT-MetaBAT2-group-IF.145.fa	8.75	0.0	Neural Network (Specific Model)	11	0.911	281949	303	MEGAHIT-MetaBAT2-group-IF.145	MEGAHIT-MetaBAT2-group-IF.145.fa	24	24	17	11	2	0	281949	281949	258308	213427	71946	0	24	45511	281949	51.39	16374	11039	6	11	0.0	2 + 0 part	MEGAHIT-MetaBAT2-group-IF.145.fa																			
MEGAHIT-MetaBAT2-group-IF.146.fa						9.956425	0.7331015000000001	1.684625	3.738395	3.525785	MEGAHIT-MetaBAT2-group-IF.146.fa	bacteria_odb10	75.0	71.8	3.2	2.4	22.6	124	11	19834	19834	0.000%	246	MEGAHIT-MetaBAT2-group-IF.146.fa	80.28	2.01	Gradient Boost (General Model)	11	0.884	3351651	3155	MEGAHIT-MetaBAT2-group-IF.146	MEGAHIT-MetaBAT2-group-IF.146.fa	246	246	183	128	34	6	3351651	3351651	3162180	2751282	1325931	373082	246	79447	3351651	49.63	19834	11757	50	106	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.146.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__Laedolimicola sp011959465	GCA_910575725.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__Laedolimicola sp011959465	98.71	0.88							ani_screen	classification based on ANI only	GCA_910576325.1, s__Laedolimicola sp910576325, 95.0, 84.67, 0.155				
MEGAHIT-MetaBAT2-group-IF.147.fa						129.418	650.9680000000001	275.18949999999995	575.283	708.888	MEGAHIT-MetaBAT2-group-IF.147.fa	bacteria_odb10	83.1	78.2	4.8	0.8	16.1	124	11	85099	85099	0.000%	42	MEGAHIT-MetaBAT2-group-IF.147.fa	81.36	4.77	Neural Network (Specific Model)	11	0.902	2239436	1859	MEGAHIT-MetaBAT2-group-IF.147	MEGAHIT-MetaBAT2-group-IF.147.fa	42	42	41	40	27	17	2239436	2239436	2236649	2228497	1994770	1621963	42	162779	2239436	56.14	85099	48647	10	19	0.0	1 + 0 part	MEGAHIT-MetaBAT2-group-IF.147.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675	GCA_910579675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675	99.88	0.959							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.148.fa						0.0456551	0.0355372	40.5629	21.4189	20.6802	MEGAHIT-MetaBAT2-group-IF.148.fa	bacteria_odb10	93.5	92.7	0.8	3.2	3.2	124	11	67187	67187	0.000%	117	MEGAHIT-MetaBAT2-group-IF.148.fa	92.94	2.11	Gradient Boost (General Model)	11	0.872	4290848	3642	MEGAHIT-MetaBAT2-group-IF.148	MEGAHIT-MetaBAT2-group-IF.148.fa	117	117	103	89	51	27	4290848	4290848	4245926	4149016	3478697	2622535	117	272716	4290848	51.13	67187	33226	19	42	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.148.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555	GCA_910587555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555	98.94	0.815							ani_screen	classification based on ANI only	GCA_910580225.1, s__Acetatifactor sp910580225, 95.0, 91.82, 0.159; GCA_947367855.1, s__Acetatifactor sp947367855, 95.0, 91.26, 0.172				
MEGAHIT-MetaBAT2-group-IF.149.fa						6.46178	4.28528	0.0325356	0.124844	0.180372	MEGAHIT-MetaBAT2-group-IF.149.fa	bacteria_odb10	52.4	50.0	2.4	12.9	34.7	124	11	7668	7668	0.000%	661	MEGAHIT-MetaBAT2-group-IF.149.fa	81.66	4.68	Neural Network (Specific Model)	11	0.871	3727892	3512	MEGAHIT-MetaBAT2-group-IF.149	MEGAHIT-MetaBAT2-group-IF.149.fa	661	661	271	98	2	0	3727892	3727892	2574039	1345450	53230	0	661	27812	3727892	55.6	7668	4361	158	320	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.149.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585665	GCA_910585665.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910585665	99.89	0.818							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.15.fa						0.142463	0.0965251	38.8802	22.0349	16.8274	MEGAHIT-MetaBAT2-group-IF.15.fa	bacteria_odb10	0.8	0.8	0.0	2.4	96.8	124	11	22268	22268	0.000%	29	MEGAHIT-MetaBAT2-group-IF.15.fa	6.9	0.0	Neural Network (Specific Model)	11	0.851	278786	328	MEGAHIT-MetaBAT2-group-IF.15	MEGAHIT-MetaBAT2-group-IF.15.fa	29	29	17	9	2	0	278786	278786	242136	194065	69571	0	29	35071	278786	57.86	22268	6294	5	12	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.15.fa																			
MEGAHIT-MetaBAT2-group-IF.150.fa						0.0	0.0715515	34.0051	42.8713	44.9283	MEGAHIT-MetaBAT2-group-IF.150.fa	bacteria_odb10	25.0	25.0	0.0	2.4	72.6	124	11	96584	96584	0.000%	3	MEGAHIT-MetaBAT2-group-IF.150.fa	7.13	0.01	Neural Network (Specific Model)	11	0.896	204724	195	MEGAHIT-MetaBAT2-group-IF.150	MEGAHIT-MetaBAT2-group-IF.150.fa	3	3	3	2	2	2	204724	204724	204724	197001	197001	197001	3	100417	204724	55.92	96584	96584	2	2	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.150.fa																			
MEGAHIT-MetaBAT2-group-IF.151.fa						8.22893	11.0411	16.5477	7.85932	11.8769	MEGAHIT-MetaBAT2-group-IF.151.fa	bacteria_odb10	73.4	71.8	1.6	3.2	23.4	124	11	98248	98248	0.000%	35	MEGAHIT-MetaBAT2-group-IF.151.fa	74.54	1.79	Gradient Boost (General Model)	11	0.858	1659853	1569	MEGAHIT-MetaBAT2-group-IF.151	MEGAHIT-MetaBAT2-group-IF.151.fa	35	35	34	27	20	12	1659853	1659853	1655498	1603358	1482737	1169601	35	171949	1659853	58.44	98248	42231	7	14	0.0	1 + 0 part	MEGAHIT-MetaBAT2-group-IF.151.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp910587345	GCA_910587345.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vermiculatibacterium;s__Vermiculatibacterium sp910587345	98.36	0.903							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.152.fa						1.24039	0.0828713	2.21969	2.32676	1.33837	MEGAHIT-MetaBAT2-group-IF.152.fa	bacteria_odb10	21.8	21.8	0.0	4.8	73.4	124	11	3167	3167	0.000%	382	MEGAHIT-MetaBAT2-group-IF.152.fa	30.14	0.18	Neural Network (Specific Model)	11	0.927	1160270	1202	MEGAHIT-MetaBAT2-group-IF.152	MEGAHIT-MetaBAT2-group-IF.152.fa	382	382	34	1	0	0	1160270	1160270	219120	10651	0	0	382	10651	1160270	52.8	3167	2360	127	235	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.152.fa																			
MEGAHIT-MetaBAT2-group-IF.153.fa						0.0	0.0	15.156	6.81282	29.0268	MEGAHIT-MetaBAT2-group-IF.153.fa	bacteria_odb10	83.1	83.1	0.0	4.0	12.9	124	11	51288	51288	0.000%	65	MEGAHIT-MetaBAT2-group-IF.153.fa	77.31	0.0	Neural Network (Specific Model)	11	0.916	2029455	2004	MEGAHIT-MetaBAT2-group-IF.153	MEGAHIT-MetaBAT2-group-IF.153.fa	65	65	58	45	28	14	2029455	2029455	2006867	1911276	1623717	1103418	65	132559	2029455	56.57	51288	31032	13	25	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.153.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525	GCF_009917525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525	97.52	0.932							ani_screen	classification based on ANI only	GCA_021769555.1, s__Acutalibacter sp021769555, 95.0, 85.05, 0.306; GCA_947572385.1, s__Acutalibacter sp947572385, 95.0, 94.01, 0.752; GCF_002201475.1, s__Acutalibacter muris, 95.0, 82.79, 0.163; GCA_910584745.1, s__Acutalibacter sp910584745, 95.0, 83.19, 0.156				
MEGAHIT-MetaBAT2-group-IF.154.fa						0.02286355	0.02945235	50.9416	22.56315	19.815	MEGAHIT-MetaBAT2-group-IF.154.fa	bacteria_odb10	86.3	66.9	19.4	7.3	6.5	124	11	37309	37309	0.000%	94	MEGAHIT-MetaBAT2-group-IF.154.fa	93.45	5.88	Gradient Boost (General Model)	11	0.874	2443060	2326	MEGAHIT-MetaBAT2-group-IF.154	MEGAHIT-MetaBAT2-group-IF.154.fa	94	94	84	75	39	11	2443060	2443060	2411951	2349323	1738116	733246	94	86657	2443060	64.54	37309	22773	22	43	0.0	1 + 0 part	MEGAHIT-MetaBAT2-group-IF.154.fa																			
MEGAHIT-MetaBAT2-group-IF.155.fa						5.89431	2.36043	7.89301	2.07434	3.78482	MEGAHIT-MetaBAT2-group-IF.155.fa	bacteria_odb10	88.7	87.9	0.8	3.2	8.1	124	11	13148	13148	0.000%	289	MEGAHIT-MetaBAT2-group-IF.155.fa	94.15	0.05	Gradient Boost (General Model)	11	0.809	2643160	2447	MEGAHIT-MetaBAT2-group-IF.155	MEGAHIT-MetaBAT2-group-IF.155.fa	289	289	169	91	16	1	2643160	2643160	2246940	1685565	573749	74604	289	74604	2643160	60.04	13148	7433	59	126	0.0	2 + 0 part	MEGAHIT-MetaBAT2-group-IF.155.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022794295	GCA_022794295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp022794295	99.87	0.888							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.156.fa						93.1691	313.441	108.849	208.28	147.756	MEGAHIT-MetaBAT2-group-IF.156.fa	bacteria_odb10	8.1	8.1	0.0	0.8	91.1	124	11	260488	260488	0.000%	1	MEGAHIT-MetaBAT2-group-IF.156.fa	11.27	0.01	Neural Network (Specific Model)	11	0.885	260488	212	MEGAHIT-MetaBAT2-group-IF.156	MEGAHIT-MetaBAT2-group-IF.156.fa	1	1	1	1	1	1	260488	260488	260488	260488	260488	260488	1	260488	260488	59.52	260488	260488	1	1	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.156.fa																			
MEGAHIT-MetaBAT2-group-IF.157.fa						1.69831	0.111281	2.37076	1.30337	0.775431	MEGAHIT-MetaBAT2-group-IF.157.fa	bacteria_odb10	4.0	4.0	0.0	3.2	92.7	124	11	2597	2597	0.000%	151	MEGAHIT-MetaBAT2-group-IF.157.fa	10.57	0.11	Neural Network (Specific Model)	11	0.937	385209	406	MEGAHIT-MetaBAT2-group-IF.157	MEGAHIT-MetaBAT2-group-IF.157.fa	151	151	7	0	0	0	385209	385209	42215	0	0	0	151	7196	385209	56.53	2597	2042	55	97	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.157.fa																			
MEGAHIT-MetaBAT2-group-IF.158.fa						14.9344	0.301796	3.21648	21.4989	2.99521	MEGAHIT-MetaBAT2-group-IF.158.fa	bacteria_odb10	96.8	96.0	0.8	0.8	2.4	124	11	62053	62053	0.000%	75	MEGAHIT-MetaBAT2-group-IF.158.fa	83.54	1.37	Neural Network (Specific Model)	11	0.901	2555602	2282	MEGAHIT-MetaBAT2-group-IF.158	MEGAHIT-MetaBAT2-group-IF.158.fa	75	75	59	46	37	21	2555602	2555602	2508414	2417286	2256089	1656751	75	157987	2555602	43.13	62053	41790	15	27	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.158.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp910589105	GCA_910589105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp910589105	99.96	0.971							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-IF.159.fa						5.15452	0.329308	0.152983	5.77831	0.593891	MEGAHIT-MetaBAT2-group-IF.159.fa	bacteria_odb10	83.9	83.9	0.0	4.8	11.3	124	11	9684	9684	0.000%	477	MEGAHIT-MetaBAT2-group-IF.159.fa	85.61	3.39	Gradient Boost (General Model)	11	0.895	3095638	3082	MEGAHIT-MetaBAT2-group-IF.159	MEGAHIT-MetaBAT2-group-IF.159.fa	477	477	212	92	9	0	3095638	3095638	2355050	1492963	278182	0	477	38789	3095638	44.96	9684	5142	98	206	0.0	0 + 1 part	MEGAHIT-MetaBAT2-group-IF.159.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia intestinalis	GCA_943192975.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia intestinalis	98.87	0.747							ani_screen	classification based on ANI only	GCA_041223905.1, s__Emergencia sp022767345, 95.0, 86.35, 0.187				
MEGAHIT-MetaBAT2-group-IF.16.fa						6.66632	46.1481	0.143187	7.85114	23.0842	MEGAHIT-MetaBAT2-group-IF.16.fa	bacteria_odb10	63.7	63.7	0.0	1.6	34.7	124	11	114574	114574	0.000%	13	MEGAHIT-MetaBAT2-group-IF.16.fa	43.95	0.06	Neural Network (Specific Model)	11	0.918	1149023	946	MEGAHIT-MetaBAT2-group-IF.16	MEGAHIT-MetaBAT2-group-IF.16.fa	13	13	12	12	10	8	1149023	1149023	1145482	1145482	1118327	1051175	13	368113	1149023	55.94	114574	89586	3	6	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-IF.16.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910576785	GCA_910576785.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910576785	98.77	0.939							ani_screen	classification based on ANI only					
